member_full,last_name,first_name,party,state,vote_cast,lis_member_id,members_Id,vote_number
Murkowski (R-AK),Murkowski,Lisa,R,AK,Yea,S288,0,280
Murphy (D-CT),Murphy,Christopher,D,CT,Nay,S364,0,280
Murray (D-WA),Murray,Patty,D,WA,Nay,S229,0,280
Nelson (D-FL),Nelson,Bill,D,FL,Nay,S282,0,280
Paul (R-KY),Paul,Rand,R,KY,Yea,S348,0,280
Perdue (R-GA),Perdue,David,R,GA,Yea,S379,0,280
Peters (D-MI),Peters,Gary,D,MI,Nay,S380,0,280
Portman (R-OH),Portman,Rob,R,OH,Yea,S349,0,280
Reed (D-RI),Reed,John,D,RI,Nay,S259,0,280
Reid (D-NV),Reid,Harry,D,NV,Nay,S198,0,280
Risch (R-ID),Risch,James,R,ID,Yea,S323,0,280
Roberts (R-KS),Roberts,Pat,R,KS,Yea,S260,0,280
Rounds (R-SD),Rounds,Mike,R,SD,Yea,S381,0,280
Rubio (R-FL),Rubio,Marco,R,FL,Yea,S350,0,280
Sanders (I-VT),Sanders,Bernie,I,VT,Nay,S313,0,280
Sasse (R-NE),Sasse,Ben,R,NE,Yea,S382,0,280
Schatz (D-HI),Schatz,Brian,D,HI,Nay,S353,0,280
Schumer (D-NY),Schumer,Charles,D,NY,Nay,S270,0,280
Scott (R-SC),Scott,Timothy,R,SC,Yea,S365,0,280
Sessions (R-AL),Sessions,Jefferson,R,AL,Yea,S261,0,280
Shaheen (D-NH),Shaheen,Jeanne,D,NH,Nay,S324,0,280
Shelby (R-AL),Shelby,Richard,R,AL,Yea,S184,0,280
Stabenow (D-MI),Stabenow,Debbie,D,MI,Nay,S284,0,280
Sullivan (R-AK),Sullivan,Dan,R,AK,Yea,S383,0,280
Tester (D-MT),Tester,Jon,D,MT,Nay,S314,0,280
Thune (R-SD),Thune,John,R,SD,Yea,S303,0,280
